date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:38	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202024%2018:40:38%20GMT	https://soscrescimento.com.br/wp-includes/wlwmanifest.xml	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-includes/wlwmanifest.xml	(from https://soscrescimento.com.br/)
15:40:38	2444/2444	---M--	200	added ('OK')	application/json	date:Thu,%2012%20Dec%202024%2018:40:38%20GMT	https://soscrescimento.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsoscrescimento.com.br%2F	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-json/oembed/1.0/embed0be7.json	(from https://soscrescimento.com.br/)
15:40:39	2515/2515	---M-Z	200	added ('OK')	text/xml	date:Thu,%2012%20Dec%202024%2018:40:39%20GMT	https://soscrescimento.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsoscrescimento.com.br%2F&format=xml	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-json/oembed/1.0/embed4aa6	(from https://soscrescimento.com.br/)
15:40:39	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2012%20Dec%202024%2018:40:39%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/PAULO/Desktop/crescer%20cabelo/www.googletagmanager.com/gtm.185445.delayed	(from https://soscrescimento.com.br/)
15:40:39	4924/4924	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Dec%202024%2018:40:39%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/Users/PAULO/Desktop/crescer%20cabelo/analytics.tiktok.com/i18n/pixel/events.js	(from https://soscrescimento.com.br/)
15:40:39	1359/1359	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Sep%202022%2018:34:27%20GMT	https://soscrescimento.com.br/wp-content/uploads/2021/10/cropped-LOGO-FIVICON-32x32.png	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2021/10/cropped-LOGO-FIVICON-32x32.png	(from https://soscrescimento.com.br/)
15:40:40	12011/12011	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Sep%202022%2018:34:27%20GMT	https://soscrescimento.com.br/wp-content/uploads/2021/10/cropped-LOGO-FIVICON-192x192.png	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2021/10/cropped-LOGO-FIVICON-192x192.png	(from https://soscrescimento.com.br/)
15:40:40	11191/11191	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Sep%202022%2018:34:27%20GMT	https://soscrescimento.com.br/wp-content/uploads/2021/10/cropped-LOGO-FIVICON-180x180.png	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2021/10/cropped-LOGO-FIVICON-180x180.png	(from https://soscrescimento.com.br/)
15:40:40	3014/3014	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Feb%202024%2017:21:36%20GMT	https://soscrescimento.com.br/wp-content/uploads/2024/02/logo-lizzante-oficial.png	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2024/02/logo-lizzante-oficial.png	(from https://soscrescimento.com.br/)
15:40:40	19833/19833	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2021%20Feb%202024%2017:21:36%20GMT	https://soscrescimento.com.br/wp-content/uploads/2024/02/selo-compra-segura.svg	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2024/02/selo-compra-segura.svg	(from https://soscrescimento.com.br/)
15:40:41	9929/9929	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2013:43:55%20GMT	https://soscrescimento.com.br/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://soscrescimento.com.br/)
15:40:41	1952367/1952367	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Feb%202024%2017:46:32%20GMT	https://soscrescimento.com.br/wp-content/uploads/2024/02/imagem-site-2024-2.png	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2024/02/imagem-site-2024-2.png	(from https://soscrescimento.com.br/)
15:40:41	179638/179638	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Feb%202024%2017:21:53%20GMT	https://soscrescimento.com.br/wp-content/uploads/2024/02/WhatsApp-Image-2022-08-16-at-14.27.06.jpeg	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2024/02/WhatsApp-Image-2022-08-16-at-14.27.06.jpg	(from https://soscrescimento.com.br/)
15:40:41	158840/158840	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Feb%202024%2017:21:54%20GMT	https://soscrescimento.com.br/wp-content/uploads/2024/02/WhatsApp-Image-2022-08-16-at-14.27.07.jpeg	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2024/02/WhatsApp-Image-2022-08-16-at-14.27.07.jpg	(from https://soscrescimento.com.br/)
15:40:42	460030/460030	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Feb%202024%2017:21:55%20GMT	https://soscrescimento.com.br/wp-content/uploads/2024/02/WhatsApp-Image-2022-08-16-at-14.27.08-1.jpeg	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2024/02/WhatsApp-Image-2022-08-16-at-14.27.08-1.jpg	(from https://soscrescimento.com.br/)
15:40:42	141600/141600	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Feb%202024%2017:21:57%20GMT	https://soscrescimento.com.br/wp-content/uploads/2024/02/WhatsApp-Image-2022-08-16-at-14.27.08.jpeg	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2024/02/WhatsApp-Image-2022-08-16-at-14.27.08.jpg	(from https://soscrescimento.com.br/)
15:40:42	146698/146698	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Feb%202024%2017:21:58%20GMT	https://soscrescimento.com.br/wp-content/uploads/2024/02/WhatsApp-Image-2022-08-16-at-14.27.09.jpeg	C:/Users/PAULO/Desktop/crescer%20cabelo/soscrescimento.com.br/wp-content/uploads/2024/02/WhatsApp-Image-2022-08-16-at-14.27.09.jpg	(from https://soscrescimento.com.br/)
